,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Lakhimpur,1,"North Lakhimpur - Subansiri Right Bank Ghancharai -Teliapathar Embankment | Teliapathar | against the breach like damage. Bank migration still active. The reach length has increased upto 400m. Report received from AE, Water Resource Department, North Lakhimpur on 25-09-2022 restoration work going on. | (Long - 0.000000, Lat - 0.000000)",25-09-2022
1,,Total,1,,25-09-2022
