,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Sivasagar,1,"Demow - Dehing bund left bank from Joon gaon to Laibeel | Lachan | Slump down of a portion of the embankment due to drawdown of the river as well as shear failure of the embankment. The report has been received from WR officials, Demow subdivision. Date of occurrence from 20/9/2022 to 21/9/2022 | (Long - 94.722784, Lat - 27.244484)",21-09-2022
1,,Total,1,,21-09-2022
