,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Lakhimpur,1,"Nowboicha - Singra River RB embankment | Chamua | Damage due wear and tear during shower, seepage and raincuts (Approximate 10 Meter) has been observed at Chamuagaon of Singra RB Embankment under North Lakhimpur WR Divison on 20/05/2022",21-05-2022
1,,Udalguri,1,"Udalguri - Kathalguri village embankment | Kathalguri, Udalguri | Erosion on left bank from river Golandi at Kathalguri village embankment around 420m on 21.05.2022.",21-05-2022
2,,Total,2,,21-05-2022
