,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Dibrugarh,1,"Dibrugarh West - 1. At Brahmaputra Dyke Phase II | Bogibeel Bridge Project | As per report received from Assistant Executive Engineer WR Department Dibrugarh, as on 20.05.2022 that Severe rain cuts and major slump down has been observed at B-dyke Phase II at downstream of Bogibeel Bridge. The concerned dyke is under the jurisdiction of Dy. Chief Engineer/Con, N.F Railway, Bogibeel Bridge Project, Several major rain cuts and slump downs has been observed in between Ch 1.4 Km to Ch 4.0 Km of the dyke due to incessant rainfall and movement of cattle and heavy vehicles",20-05-2022
1,,Majuli,1,Majuli - Balijokaibowa and Namoni Jokaibowa | Balijokaibowa and Namoni Jokaibowa dyke | Severe raincuts occured under PGJH dyke on 20.05.2022. Length=3 mtr. Breadth= 0.6 mtr. Depth= 0.40 mtr. Although stacking spreading is going on for recoupment by Water Resource Department.,20-05-2022
2,,Nalbari,4,"Barkhetri - B/dyke on R/B of river Brahmaputra from Adabari to Kukarjan | larkuchi | damage occurred due to erosion. reach length of damage 500m. as reported by AEE, WRD, Mukalmua on 20/05/2022,  B/dyke on R/B of river Brahmaputra from Adabari to kukarjan | peradhara | damage occurred due to erosion at channel mouth near peradhara. reach length of damage 300m. as reported by AEE, WRD, Mukalmua on 20/05/2022,  B/dyke on R/B of river Pagaldia from Bijulighat to Adabari | hanapara | damage occurred due to erosion at Hanapara. reach length of damage 200m. as reported by AEE, WRD, Mukalmua on 20/05/2022,  Barbhag - L/B of river Pagladiafrom Dusutimukh to Adabari | Dusutimukh | As per report submitted by Asst. Executive Engineer Mukalmua W.R. Subdivsion Mukalmua as on dated 20/05/ 2022",20-05-2022
3,,Total,6,,20-05-2022
