,infrastructure damaged - embankment affected,District,Number,Details,,,,,,,,Date
0,,Nagaon,1,"Dhing - Brahmaputra dyke at Muwamari | MUWAMARI | AS PER THE REPORT RECEIVED FROM JE WRD, MOIRABARI DIVISION, A DEVASTATING EROSION HAVE ERODED ADDITIONAL 20M (TOTAL 80M) ON 04.08.2022 WIDTH OF LAND AT MUWAMARI LEAVING NO BERM FOR THE EMBANKMENT ON RIVER SIDE HAVE BEEN ERODED AWAY. | (Long - 92.431542, Lat - 26.487426)",,,,,,,,06-08-2022
1,,Total,1,,,,,,,,,06-08-2022
