,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Biswanath,1,"Gohpur - Sessa River R/Bank embankment | Ouguri Area | Breach like damages occured and dumping of geo bags is continuing at erosion reach of Ouguri Bicrampur area of river Sessa on 18.07.2022 | (Long - 93.726668, Lat - 26.964884)",18-07-2022
1,,Total,1,,18-07-2022
2,infrastructure damaged,District,"Numbe
r",Details,18-07-2022
