,infrastructure damaged - embankment affected,District,Number,Details,,,,,,,,Date
0,,Biswanath,1,"Halem - Mild Erosion occured in Paken Area on 14.10.2022 | R/Bank of River Brahmaputra | | (Long - 93.373098, Lat - 26.480320)",,,,,,,,14-10-2022
1,,Total,1,,,,,,,,,14-10-2022
