,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Karimganj,1,"RK Nagar - Left bank of Shingla at wangirbond Borbeel | Left bank of Shingla at wangirbond Borbeel | Sloughing at Left bank of Shingla at village wangirbond Borbeel as reported by Executive Engineer ,Karimganj Water Resourse , Division,Karimganj as on date 13-07-2022. | (Long - 92.421412, Lat - 24.445464)",15-07-2022
1,,Total,1,,15-07-2022
