,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Cachar,1,"Silchar - Mohisha beel to Barak River | Borjurai, Bethukandi | Immediate Restoration of Road cum Embankment along with sluice gate for safe water passage from Mohisa beel to Barak River, as per report received from Silchar-Udharbond Division Irrigation Kanakpur Silchar, as on 04.06.2022",05-06-2022
1,,Total,1,,05-06-2022
