,infrastructure damaged - embankment affected,District,Number,Details,,,,,,,,Date
0,,Nagaon,2,"Raha - F/E along Kollong river (R/B) from Raha to Jagi | KHANDAJAN | DATE OF OCCURRENCE- 12/9/2022 LENGTH- 500 M DEPARTMENT- WR MORIGAON | (Long - 0.000000, Lat - 0.000000),  F/E along Kollong river (R/B) from Raha to Jagi | MANIPUR TUP | DATE OF OCCURRENCE- 12/9/2022 LENGTH- 1500 M DEPARTMENT- WR MORIGAON | (Long - 0.000000, Lat - 0.000000)",,,,,,,,13-09-2022
1,,Total,2,,,,,,,,,13-09-2022
