,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Biswanath,2,"Gohpur - Breach like damages occured at Panchyat Bund | Kokila | Breach like damages occured at Panchyat Bund.28.06.2022 | (Long - 93.686780, Lat - 26.916791),  Breach like damages occured at Panchyat Bund | Kukurjan | Breach like damages occured at Panchyat Bund.28.06.2022 | (Long - 93.614326, Lat - 26.891499)",29-06-2022
1,,Lakhimpur,1,"Bihpuria - Dikrong L/B embankment at Gondhia | At CH. 21500 m | As reported by AE, WRD Bihpuria, slump down of embankment is observed on Dikrong L/B embankment at Gondhia at At CH. 21500 m since 28/06/2022.Temporary restoration measures are in progress. | (Long - 93.943375, Lat - 27.007690)",29-06-2022
2,,Tamulpur,1,"Tamulpur - Fishery Tank at Dakhin Gandhibari . | Vill-Dakhin Gandhibari . | 10% Damaged & 10 m Erosion Embankment Damage. As par report recived on dated 27-06-2022. | (Long - 91.665957, Lat - 26.581807)",29-06-2022
3,,Total,4,,29-06-2022
