,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Jorhat,1,"Teok - Jhanji Left Bank | Sensua GaonRev Vill- Simaluguri, Mouza- Simaluguri | Date- 15-05-2022Continuous and massive slump down have been taking place along the riverside embankment of Jhanji LB AT Road to Tamulichiga at Ch1600 M to Ch 1700 M at Sensua Gaon.Slump Down area dimensions -Length = Approx. 50 MBreadth = Approx. 11 M (Slope Length)Height = Approx. 9 M",15-05-2022
1,,Total,1,,15-05-2022
