,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Kamrup,4,"Hajo - Puthimari R/B embankment at Saster Ghat | Saster Ghat | As per report of AEE, Hajo WR Sub division damaged on dated. 19.07.2022 | (Long - 91.481115, Lat - 26.258907),  Puthimari R/B embank. at Baromboi | Baromboi | As per report of AEE, Hajo WR Sub division damaged on dated. 19.07.2022 | (Long - 91.585840, Lat - 26.287504),  Puthimari L/B at NO 1 Bhelkor | No 1 Bhelkor | As per report of AEE, Hajo WR Sub division damaged on dated. 20.07.2022 | (Long - 91.470657, Lat - 26.255654),  Bhoiratola Jan L/B at Khoponikuchi | Khoponikuchi | As per report of AEE, Hajo WR Sub division damaged on dated. 20.07.2022 | (Long - 91.508554, Lat - 26.299810)",20-07-2022
1,,Total,4,,20-07-2022
2,infrastructur,District,Numbe,Details,20-07-2022
