,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Barpeta,1,"Kalgachia - R/B Embankment, Bardanga | various points in Bardanga vill of Rupshi mouza under Kalgachia Rev Circle | As per report received from JE, Sorbhog WR Sub-division on 06/07/2022, R/B Embankment, Bardanga partially damaged in various points at Bardanga vill due to heavy rainfall & rising water of river Beki, damaged occurred on 18/06/2022, damage type- crest damaged at various points. | (Long - 90.870270, Lat - 26.405000)",06-07-2022
1,,Total,1,,06-07-2022
