,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Dibrugarh,1,"Dibrugarh West - DRDA ring Bund. | Bhogamur Block Gaon. | As per report received from Executive Engineer WR, as on 9.7.2022 Dibrugarh that Flood damage has occurred at Bhogamur Block Gaon ring bund which is safeguarding a vast area comprising of agricultural land, homestead land along with govt. establishment. A portion of the ring bund was slumped down during the receding stage of flood water of river Buridehing on the afternoon of 08-07-2022. Moreover, it is to be added that, the bund is on the verge of being breached and this could lead to severe flood inundation in the entire Block gaon area if the water level rises in the prevailing flood season. This is an alarming situation for the residents of Bhogamur Block Gaon,Nadi Kinar Ahom gaon, Ghogamur Tiniali gaon. As such immediate restoration of the DRDA ring bund is utmost essential as it will not be able to withstand any further flooding by the river Burhidehing in the prevailing flood season. Therefore, I would like to solicit your further instructions regarding this matter. Name of Location: DRDA Ring Bund at Bhogamur Block gaon Coordinates: 27°16'36.41""N 94°50'3.88""E | (Long - 94.503880, Lat - 27.163641)",09-07-2022
1,,Majuli,1,"Ujani Majuli - Ujani Gezera, Namoni Gezera, Maj Gezera & Lachon Baligaon | B/dyke at 1. Ujani Gezera 2. Namoni Gezera 3. Maj Gezera 4. Lachon Baligaon | Rain cuts due to rainfall on 08.07.2022 | (Long - 0.000000, Lat - 0.000000)",09-07-2022
2,,Total,2,,09-07-2022
