,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Karimganj,2,"Patherkandi - Mantrigram Left Bank | Mantrigram | AEE, Water Resource, Patharkandi reported that on 08/07/22 due to rainfall a slump down occurred at left bank of river lonagai at mantrigram | (Long - 92.299703, Lat - 24.593836),  Pecharghat Left Bank | Pecharghat | AEE, Water Resource, Patharkandi reported that on 05/07/22 due to rainfall a slump down occurred at left bank of river lonagai at Pecharghat. | (Long - 92.326433, Lat - 24.480876)",13-07-2022
1,,Total,2,,13-07-2022
