,infrastructure damaged - embankment affected,District,Number,Details,,,,,,,Date
0,,Biswanath,1,"Halem - Mild Erosion occured in Paken Area | R/Bank of River Brahmaputra on 12-10-2022. | | (Long - 93.373098, Lat - 26.480320)",,,,,,,12-10-2022
1,,Karbi Anglong West,1,"Donkamokam - Baliguchi to Pudomoni Embankment | Baliguchi to Pudomoni | Due to incessant Rain damage caused by Kopili River on its L/B from Baliguchi to Pudomoni Embankment was affected/damaged on 21/05/2022 at the length of 1050 M as reported by Executive Engineer,West Karbi Anglong, Water Resource Division,Donkamokam on 12/10/2022. | (Long - 92.754524, Lat - 26.059822)",,,,,,,12-10-2022
2,,Total,2,,,,,,,,12-10-2022
