,infrastructure damaged - embankment affected,District,Number,Details,,,,,,,Date
0,,Biswanath,1,"Halem - Mild Erosion occured in Paken Area | R/Bank of River Brahmaputra on 13/10/2022. | | (Long - 93.373098, Lat - 26.480320)",,,,,,,13-10-2022
1,,Dibrugarh,1,"Dibrugarh East - Ockland Dyke | At 16/177 ORR Grant (Nagaghoolie Kachari Line) - Philonuguri Grant 8/152 No ORR Grant | As per report received from Water Resource Deptt as on 12-10-2022 , Ockland Dyke suffered damages in between 5th and 6th Km due to rise in Brahmaputra River water level. GPS Co-Ordinate are -( 27.31'05"" N 94.59'48"" E) to 27.31'04"" N 94.59'44""E ) | (Long - 94.590000, Lat - 27.310000)",,,,,,,13-10-2022
2,,Total,2,,,,,,,,13-10-2022
