,infrastructure damaged - embankment affected,District,Number,Details,,,,,,,,,Date
0,,Bajali,2,"Bajali - Panpara area of river Rupahi at Right Bank Embankment | Panpara | Bank Migration at Panpara area of river Rupahi at Right Bank Embankment ( Ch. 2nd KM) for a reach length of 250 M. This report is received from AEE,Bajali WR division,Pathsala on 3rd August,2022 | (Long - 91.117754, Lat - 26.661950),  Chengelimari area of river Rupahi at Right Bank Embankment | Chengelimari | Bank Migration at Chengelimari area of river Rupahi at Right Bank Embankment ( Ch. 4th KM) for a reach length of 150 M. This report is received from AEE,Bajali WR division,Pathsala on 3rd August,2022 | (Long - 91.130307, Lat - 26.647172)",,,,,,,,,04-08-2022
1,,Total,2,,,,,,,,,,04-08-2022
