,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Karimganj,1,"RK Nagar - Dullavcherra Bridge Right Bank of Singla River | Dullavcherra Bridge Right Bank of Singla River | Dullavcherra Bridge Right Bank of Singla River 400 mtrs sloughing damage as reported by Assistant executive engineer Karimganj on 01-07-2022 | (Long - 92.434382, Lat - 24.485139)",08-07-2022
1,,Total,1,,08-07-2022
