,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Lakhimpur,1,Nowboicha - Singra RB Embankment (D/S of NH-15) | Chomua Village | Raincut and damage of B/Bamboo Screens has been observed at 2nd KM (Chamuagaon) of Singra RB Embankment (D/S of NH-15) on 11.06.2022,11-06-2022
1,,Total,1,,11-06-2022
