,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Karimganj,1,"(Karimganj) At District - Nivia kewaghat left bank of shingla river | Nivia kewaghat Right bank of shingla river | Nivia kewaghat Left bank of shingla river sloughing as reported by Assistant Executive Engineer, Karimganj Water Resourse sub-Division, karimganj as on dtd. 26-07-2022. | (Long - 92.421201, Lat - 24.418188)",28-07-2022
1,,Sivasagar,2,"Demow - Demow bund Right bank from Demow Chariali to Naga Ali | Demow Chariali | Damage to bank as well embankment observed at Demow bund R/bank from Demow Chariali to Naga Ali from ch 250 m to 400 m and ch 1450 m to ch 1525 m for a lenth of 150 m and 75 m respectively due to rise of water level of Demow river. Date of occurrence; from 27/7/2022 to 28/7/2022. The report has been received from water resource division, Demow | (Long - 27.131392, Lat - 94.735556),  Demow bund left bank from Demow chariali to Dhai Ali | Demow Chariali | Damage to toe of the embankment observed at Demow bund L/bank from Demow chariali to Dhai ali friom Ch 7180m to Ch 7300 m for a length of 120 m due to rise of water level of Demow river. Date of occurrence; from 27/7/2022 to 28/7/2022. The report has been received from water resource division, Demow | (Long - 27.112472, Lat - 94.686210)",28-07-2022
2,,Total,3,,28-07-2022
