,infrastructure damaged - embankment affected,District,Number,Details,,,,,,,,Date
0,,Lakhimpur,1,"Nowboicha - Earthen peripheral Bund | Pandhowa | Errosion of Earthen peripheral bundh Hasi Baperi bridge to asot Ali chuburi (wc/9010256743) under MGNREGA (BMP GP). Report received from Karunabari Dev. Block on 11.10.2022 | (Long - 0.000000, Lat - 0.000000)",,,,,,,,11-10-2022
1,,Total,1,,,,,,,,,11-10-2022
