,infrastructure damaged - embankment affected,District,Number,Details,,,,,,Date
0,,Lakhimpur,1,"Nowboicha - Singra L/B embankment (U/S of NH-15) | Bharaluwa | Rain cuts has been observed at Singra LB embankment (U/S of NH-15)about 10 mtr during last night shower i.e. 09.10.2022. Report received from, AE, Water Resources Dept. Lakhimpur on 10.10.2022 | (Long - 0.000000, Lat - 0.000000)",,,,,,10-10-2022
1,,Total,1,,,,,,,10-10-2022
