,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Biswanath,1,"Gohpur - Chatrang river embankment | Chatrang river water started rising abruptly at 2.30 PM and got damaged at some locations as per the report receives from water resource dept 21/08/2022 | | (Long - 93.615159, Lat - 26.877065)",21-08-2022
1,,Total,1,,21-08-2022
