,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Biswanath,2,"Gohpur - R/Bank embankment of River Sessa | Gopsarguri Area | Breach like damages occured on 16.07.2022 | (Long - 93.723994, Lat - 26.972494),  R/Bank embankment of River Sessa | Ouguri Area | Breach like damages occured on 16.07.2022 | (Long - 93.726668, Lat - 26.964884)",16-07-2022
1,,Total,2,,16-07-2022
