,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Bajali,1,"Sarupeta - Pahumara R/B Embankment damaged ,200 M at Ballimari area | village: Puthimari | Report received from SDO,Water Resource Department,Bajali on 25/6/2022 | (Long - 91.145500, Lat - 26.559400)",25-06-2022
1,,Hailakandi,2,"Hailakandi - Dyke along L/B of katakal from Ratanpur Ghat to Mohonpur | Bahadurpur pt -ii between chainage 110 m to 560m under Hailakandi Revenue Circle dtd. 24.06.2022 | Vertical settlement along with rivererosion touching the top of the Embankment and is progressing further.During draw down stage of river katakal | (Long - 92.620070, Lat - 24.694110),  Improvement of Dhaleswari and katakal Drainage Basin | Bondukmara and Ratanpur pt 2 ph- ii chainage 275 to 390,1140 to 1250,1420-1570,2250 to 2580 and 2670-2780under Hailakandi Revenue Circle dtd. 24.06.2022 | | (Long - 92.618602, Lat - 24.676533)",25-06-2022
2,,Kamrup,4,"Rangia - Puthimari R/B embankment from RG Rly line to RA Rly line | Vill- Nakul | Slump down Crest in C/S on Puthimari R/B embankment from RG Rly line to RA Rly line as per report of AE, WR, Rangia on 18.6.22 | (Long - 0.000000, Lat - 0.000000),  Khopnikuchi to Niteni L/B Embankment of river Noona | Vill- Barkukuria | Slump down Crest in C/S & slope in C/s Khopnikuchi to Niteni L/B Embankment of river Noona as per report of AE, WR, Rangia on 18.6.22 | (Long - 0.000000, Lat - 0.000000),  Rangia Town protection embankment | Vill- Balagaon, Tatarkuchi, Gogmalasa | Severe damage due to overtopping, rain cut, leakage, seepage and insufficient crest in Rangia Town protection embankment as per report of AE, WR, Rangia on 17.6.22, 18.06.2022 and 19.6.2022 | (Long - 0.000000, Lat - 0.000000),  Puthimari R/B embankment from RG Rly line to RA Rly line | Vill- Barkuriha , Titkuri, Niz Hassang | Severe damage due to overtopping, rain cut, leakage, seepage in Puthimari R/B embankment from RG Rly line to RA Rly line as per report of AE, WR, Rangia on 17.6.22, 18.06.2022 and 19.6.2022 | (Long - 0.000000, Lat - 0.000000)",25-06-2022
3,,Total,7,,25-06-2022
