,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Kamrup,2,"North Ghy - 1. R/B embankment of River Barnadi | Kalitapara, Lenga | As reported by Asstt. Executive Engineer, WR Division. 21/06/2022 | (Long - 0.000000, Lat - 0.000000),  2. Lenga Ring bund | Lenga | As reported by Asstt. Executive Engineer, WR Division on 21/06/2011 | (Long - 0.000000, Lat - 0.000000)",22-06-2022
1,,Total,2,,22-06-2022
