,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Bajali,2,"Bajali - EMBANKMENT OF KALDIA RIVER ATAKAYA | AKAYA | EMBANKMENT EROSION. VISITED IN PRESENCE OF CO,FO DM ,ETC on 15th June, 2022 | (Long - 91.210664, Lat - 26.591691),  AN EMBANKMENT OF KALDIA RIVER AT CHAMUWA ULUWA | CHAM,UWA ULUWA | EMBANKMENT EROSION.REPORT RECEIVED FROM CONCERNED GAON PRADHAN on 15th June, 2022 | (Long - 91.220414, Lat - 26.594074)",15-06-2022
1,,Baksa,1,"Baska - embankment | Lafakuchi | Embankmant breached at deojora river on 15/06/2022 at village Lafakuchi. | (Long - 26.638732, Lat - 91.308614)",15-06-2022
2,,Barpeta,1,"Chenga - B/dyke on R/B of river Brahmaputra from Adabari to Kukarjan | Roumari Pathar, Roumari Bazar, Balartari, Chenimari | B/dyke on R/B of river Brahmaputra from Adabari to Kukarjan from ch 5.80 km to 33.232 km, cause of damage erosion, Reach length of damage- Roumari Pathar:1100m, Roumari Bazar: 700m, Channel mouth in the U/S of Roumari Pathar:900m, Balartari:750m, Chenimari:600m reported by W.R division Mukalmua on 15.06.22 | (Long - 91.219525, Lat - 26.256066)",15-06-2022
3,,Darrang,1,"Mangaldoi - CM Dutta Bund FIS under Irrigation Department | At Garubandha Village under Mangaldai Revenue Circle | The Embankment was breached in the First wave of flood and temporary restoration works were ongoing. Again Breach of Afflux Bund cum approach Road approx. 15m length and 5m wide at Ch.150 occurred as reported by irrigation department. Dated 14/06/2022. | (Long - 91.990000, Lat - 26.530000)",15-06-2022
4,,Tamulpur,1,"Goreswar - East Bank Embankment WRD | No 1 Suagpur | Dated 14/06/2022, as reported by Water Resource department active erosion taking place at the East Bank of River Puthimari at Village No 1 Suagpur. Palliative measures taken by Water Resource department. | (Long - 91.688705, Lat - 26.652849)",15-06-2022
5,,Tamulpur,,"Goreswar - East Bank Embankment WRD | No 1 Suagpur | Dated 14/06/2022, as reported by Water Resource department active erosion taking place at the East Bank of River Puthimari at Village No 1 Suagpur. Palliative measures taken by Water Resource department. | (Long - 91.688705, Lat - 26.652849)",15-06-2022
6,,Total,6,,15-06-2022
