,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,470,230,110,130,03-07-2022
1,,Barpeta,326292,124338,45811,156143,03-07-2022
2,,Darrang,3525,1320,905,1300,03-07-2022
3,,Dhemaji,1035,761,274,0,03-07-2022
4,,Dibrugarh,10081,5054,2459,2568,03-07-2022
5,,Kamrup,1620,1100,520,0,03-07-2022
6,,Kamrup (M),904,686,173,45,03-07-2022
7,,Lakhimpur,13481,5712,3248,4521,03-07-2022
8,,Morigaon,135949,43332,22211,70406,03-07-2022
9,,Nagaon,91905,41535,28561,21809,03-07-2022
10,,Sivasagar,4085,2789,1296,0,03-07-2022
11,,Sonitpur,1602,1053,549,0,03-07-2022
12,,Total,590949,227910,106117,256922,03-07-2022
