,animals affected,District,Total,Big,Small,Poultry,,,,,Date
0,,Darrang,474,474,0,0,,,,,13-10-2022
1,,Dhemaji,35225,21146,10663,3416,,,,,13-10-2022
2,,Dibrugarh,723,621,102,0,,,,,13-10-2022
3,,Lakhimpur,12197,7748,3169,1280,,,,,13-10-2022
4,,Total,48619,29989,13934,4696,,,,,13-10-2022
