,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,119296,75449,33367,10480,21-06-2022
1,,Baksa,16290,9472,5754,1064,21-06-2022
2,,Barpeta,864648,351884,161869,350895,21-06-2022
3,,Biswanath,35373,25438,9935,0,21-06-2022
4,,Bongaigaon,17479,10101,7378,0,21-06-2022
5,,Cachar,36985,27985,9000,0,21-06-2022
6,,Chirang,7245,3590,2240,1415,21-06-2022
7,,Darrang,291705,174501,72699,44505,21-06-2022
8,,Dhemaji,21499,14595,6904,0,21-06-2022
9,,Dhubri,560798,303637,208461,48700,21-06-2022
10,,Dibrugarh,450,355,95,0,21-06-2022
11,,Goalpara,76496,55002,12707,8787,21-06-2022
12,,Golaghat,2000,1200,800,0,21-06-2022
13,,Hailakandi,20065,7355,5340,7370,21-06-2022
14,,Hojai,81303,31413,17120,32770,21-06-2022
15,,Kamrup,446273,382696,45794,17783,21-06-2022
16,,Kamrup (M),9904,6640,3264,0,21-06-2022
17,,Karimganj,23822,10294,2518,11010,21-06-2022
18,,Kokrajhar,24436,8644,3792,12000,21-06-2022
19,,Lakhimpur,36616,18248,8946,9422,21-06-2022
20,,Morigaon,106062,37663,16132,52267,21-06-2022
21,,Nagaon,111984,53005,35959,23020,21-06-2022
22,,Nalbari,318600,155377,125882,37341,21-06-2022
23,,Sonitpur,34193,23201,10992,0,21-06-2022
24,,South Salmara,285895,114287,79087,92521,21-06-2022
25,,Tamulpur,110756,29267,20575,60914,21-06-2022
26,,Total,3660173,1931299,906610,822264,21-06-2022
