,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,97784,55857,28477,13450,19-06-2022
1,,Baksa,26641,12461,9880,4300,19-06-2022
2,,Barpeta,826509,358676,163327,304506,19-06-2022
3,,Biswanath,1174,884,290,0,19-06-2022
4,,Cachar,15080,12450,2630,0,19-06-2022
5,,Chirang,9839,4360,2588,2891,19-06-2022
6,,Darrang,218987,129201,61201,28585,19-06-2022
7,,Dhemaji,60050,24387,13945,21718,19-06-2022
8,,Dhubri,336739,213779,122960,0,19-06-2022
9,,Dibrugarh,1754,1477,277,0,19-06-2022
10,,Goalpara,56618,35565,12266,8787,19-06-2022
11,,Golaghat,450,380,70,0,19-06-2022
12,,Hailakandi,1771,690,261,820,19-06-2022
13,,Hojai,71962,35185,19927,16850,19-06-2022
14,,Kamrup,379431,219160,41476,118795,19-06-2022
15,,Kamrup (M),3710,2450,1260,0,19-06-2022
16,,Kokrajhar,36656,12967,5689,18000,19-06-2022
17,,Lakhimpur,44537,28318,12066,4153,19-06-2022
18,,Morigaon,38000,5500,2500,30000,19-06-2022
19,,Nagaon,57189,30563,17288,9338,19-06-2022
20,,Nalbari,303964,132024,109180,62760,19-06-2022
21,,Sonitpur,31793,16482,15101,210,19-06-2022
22,,South Salmara,271672,104987,74164,92521,19-06-2022
23,,Tamulpur,21971,10577,10119,1275,19-06-2022
24,,Udalguri,13749,6662,6265,822,19-06-2022
25,,Total,2928030,1455042,733207,739781,19-06-2022
