,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,3594,1647,1277,670,26-06-2022
1,,Baksa,3826,2458,1368,0,26-06-2022
2,,Barpeta,787507,289466,139566,358475,26-06-2022
3,,Darrang,242627,127980,72961,41686,26-06-2022
4,,Dhemaji,6230,4274,1956,0,26-06-2022
5,,Goalpara,466,87,28,351,26-06-2022
6,,Kamrup,186961,146202,25759,15000,26-06-2022
7,,Kamrup (M),7805,3730,1850,2225,26-06-2022
8,,Karimganj,15801,13311,2375,115,26-06-2022
9,,Lakhimpur,16358,7060,2768,6530,26-06-2022
10,,Morigaon,90195,35047,19641,35507,26-06-2022
11,,Nagaon,114326,56008,40720,17598,26-06-2022
12,,Nalbari,75215,33489,38076,3650,26-06-2022
13,,South Salmara,36442,11262,6492,18688,26-06-2022
14,,Tamulpur,3204,1054,565,1585,26-06-2022
15,,Total,1590557,733075,355402,502080,26-06-2022
