,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,80,30,50,0,18-05-2022
1,,Biswanath,5166,3972,1194,0,18-05-2022
2,,Cachar,31851,20637,11214,0,18-05-2022
3,,Darrang,143146,64302,37744,41100,18-05-2022
4,,Dibrugarh,1599,1412,187,0,18-05-2022
5,,Hailakandi,553,305,30,218,18-05-2022
6,,Hojai,19224,7354,3232,8638,18-05-2022
7,,Kamrup,12897,5504,3228,4165,18-05-2022
8,,Lakhimpur,6957,4183,2774,0,18-05-2022
9,,Nagaon,38523,23774,7484,7265,18-05-2022
10,,Nalbari,41777,15863,13214,12700,18-05-2022
11,,Sonitpur,2321,1669,652,0,18-05-2022
12,,Udalguri,3755,2381,1174,200,18-05-2022
13,,Total,307849,151386,82177,74286,18-05-2022
