,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,2941,545,566,1830,01-07-2022
1,,Baksa,7152,3750,3402,0,01-07-2022
2,,Barpeta,393704,129575,67441,196688,01-07-2022
3,,Biswanath,11487,8344,3143,0,01-07-2022
4,,Darrang,140246,61565,44376,34305,01-07-2022
5,,Dhemaji,37697,24683,11668,1346,01-07-2022
6,,Dibrugarh,21830,9805,5982,6043,01-07-2022
7,,Kamrup,5670,4100,1570,0,01-07-2022
8,,Kamrup (M),1066,748,235,83,01-07-2022
9,,Lakhimpur,42173,22247,11243,8683,01-07-2022
10,,Majuli,25936,19461,6475,0,01-07-2022
11,,Morigaon,132144,42142,20928,69074,01-07-2022
12,,Nagaon,112536,52359,33114,27063,01-07-2022
13,,Nalbari,17790,7990,9800,0,01-07-2022
14,,Sonitpur,917,605,312,0,01-07-2022
15,,Udalguri,1800,0,0,1800,01-07-2022
16,,Total,955089,387919,220255,346915,01-07-2022
