,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,4473,1101,798,2574,27-06-2022
1,,Baksa,2889,1856,1033,0,27-06-2022
2,,Barpeta,639427,242828,116493,280106,27-06-2022
3,,Darrang,242627,127980,72961,41686,27-06-2022
4,,Dhemaji,7299,4799,2500,0,27-06-2022
5,,Kamrup,76228,62904,13324,0,27-06-2022
6,,Kamrup (M),7367,3296,1839,2232,27-06-2022
7,,Karimganj,7552,5676,1876,0,27-06-2022
8,,Lakhimpur,17577,5852,3260,8465,27-06-2022
9,,Morigaon,91180,41179,19196,30805,27-06-2022
10,,Nagaon,120289,56016,40835,23438,27-06-2022
11,,Tamulpur,3204,1054,565,1585,27-06-2022
12,,Total,1220112,554541,274680,390891,27-06-2022
