,animals affected,District,Total,Big,Small,Poultry,,,,,,Date
0,,Bajali,1644,667,752,225,,,,,,02-08-2022
1,,Dhemaji,47204,14141,9802,23261,,,,,,02-08-2022
2,,Lakhimpur,4342,1435,927,1980,,,,,,02-08-2022
3,,Udalguri,1590,800,768,22,,,,,,02-08-2022
4,,Total,54780,17043,12249,25488,,,,,,02-08-2022
