,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,2183,431,422,1330,02-07-2022
1,,Barpeta,416685,157636,66921,192128,02-07-2022
2,,Biswanath,12183,8006,4177,0,02-07-2022
3,,Darrang,120,120,0,0,02-07-2022
4,,Dhemaji,21003,19292,1711,0,02-07-2022
5,,Dibrugarh,21857,8795,6444,6618,02-07-2022
6,,Golaghat,350,265,85,0,02-07-2022
7,,Hailakandi,47629,16191,10156,21282,02-07-2022
8,,Kamrup,2500,2000,500,0,02-07-2022
9,,Kamrup (M),1019,729,215,75,02-07-2022
10,,Lakhimpur,16997,8113,3448,5436,02-07-2022
11,,Morigaon,135949,43332,22211,70406,02-07-2022
12,,Nagaon,98053,45348,29760,22945,02-07-2022
13,,Sivasagar,4085,2789,1296,0,02-07-2022
14,,Sonitpur,1167,805,362,0,02-07-2022
15,,Total,781780,313852,147708,320220,02-07-2022
