,animals affected,District,Total,Big,Small,Poultry,,,,,Date
0,,Dhemaji,22541,11855,5367,5319,,,,,12-10-2022
1,,Dibrugarh,723,621,102,0,,,,,12-10-2022
2,,Lakhimpur,11563,7834,3024,705,,,,,12-10-2022
3,,Total,34827,20310,8493,6024,,,,,12-10-2022
