,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,7840,4340,1110,2390,30-06-2022
1,,Barpeta,514935,189610,98059,227266,30-06-2022
2,,Biswanath,11487,8344,3143,0,30-06-2022
3,,Darrang,158739,79695,44528,34516,30-06-2022
4,,Dhemaji,28314,19458,8856,0,30-06-2022
5,,Dibrugarh,15285,7595,4713,2977,30-06-2022
6,,Kamrup,5670,4100,1570,0,30-06-2022
7,,Kamrup (M),1369,861,323,185,30-06-2022
8,,Lakhimpur,50758,25065,13569,12124,30-06-2022
9,,Majuli,20125,15988,4137,0,30-06-2022
10,,Morigaon,99837,37898,19060,42879,30-06-2022
11,,Nagaon,124464,57317,38102,29045,30-06-2022
12,,Sonitpur,470,320,150,0,30-06-2022
13,,Total,1039293,450591,237320,351382,30-06-2022
