,animals affected,District,Total,Big,Small,Poultry,,,,Date
0,,Darrang,474,474,0,0,,,,15-10-2022
1,,Dhemaji,22656,15744,6912,0,,,,15-10-2022
2,,Lakhimpur,1475,1140,335,0,,,,15-10-2022
3,,Total,24605,17358,7247,0,,,,15-10-2022
