,animals affected,District,Total,Big,Small,Poultry,,,,,,Date
0,,Darrang,474,474,0,0,,,,,,14-10-2022
1,,Dhemaji,13946,6755,3775,3416,,,,,,14-10-2022
2,,Lakhimpur,6966,5000,1966,0,,,,,,14-10-2022
3,,Total,21386,12229,5741,3416,,,,,,14-10-2022
