,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,996,521,475,0,17-05-2022
1,,Biswanath,11702,8285,3417,0,17-05-2022
2,,Darrang,224315,115632,44173,4510,17-05-2022
3,,Dibrugarh,1599,1412,187,06,17-05-2022
4,,Hailakandi,613,150,180,283,17-05-2022
5,,Hojai,89,27,52,10,17-05-2022
6,,Kamrup,5244,2482,1270,492,17-05-2022
7,,Lakhimpur,5583,3603,1980,01,17-05-2022
8,,Nagaon,17929,11725,3754,2450,17-05-2022
9,,Nalbari,29889,9134,8055,2700,17-05-2022
10,,Sonitpur,2321,1669,652,01,17-05-2022
11,,Udalguri,979,485,319,175,17-05-2022
12,,Total,301259,155125,64514,81620,17-05-2022
