,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,1327,451,113,763,25-06-2022
1,,Baksa,4875,3021,1854,0,25-06-2022
2,,Barpeta,892889,323365,162243,407281,25-06-2022
3,,Cachar,122456,77967,19507,24982,25-06-2022
4,,Darrang,248167,130535,74968,42664,25-06-2022
5,,Dhemaji,5338,3532,1806,0,25-06-2022
6,,Dhubri,136533,79593,56940,0,25-06-2022
7,,Dibrugarh,1566,1022,544,0,25-06-2022
8,,Goalpara,23755,11563,5652,6540,25-06-2022
9,,Kamrup,194161,150352,28809,15000,25-06-2022
10,,Kamrup (M),9991,5379,2380,2232,25-06-2022
11,,Karimganj,42834,23527,8296,11011,25-06-2022
12,,Lakhimpur,16178,7060,2768,6350,25-06-2022
13,,Morigaon,92195,35547,18141,38507,25-06-2022
14,,Nagaon,113714,55683,40689,17342,25-06-2022
15,,Nalbari,120365,61072,55643,3650,25-06-2022
16,,Sonitpur,2821,2100,721,0,25-06-2022
17,,South Salmara,180298,86329,51739,42230,25-06-2022
18,,Tamulpur,7237,2575,1255,3407,25-06-2022
19,,Total,2216700,1060673,534068,621959,25-06-2022
