,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,100886,56719,29567,14600,18-06-2022
1,,Baksa,17170,10214,6956,0,18-06-2022
2,,Barpeta,601542,243350,131213,226979,18-06-2022
3,,Bongaigaon,147206,20089,10422,116695,18-06-2022
4,,Chirang,2715,840,595,1280,18-06-2022
5,,Darrang,222250,126603,62347,33300,18-06-2022
6,,Dhemaji,58744,21164,12773,24807,18-06-2022
7,,Dhubri,221706,138040,83666,0,18-06-2022
8,,Dibrugarh,1754,1477,277,0,18-06-2022
9,,Goalpara,52634,32520,11725,8389,18-06-2022
10,,Hojai,99612,35185,19927,44500,18-06-2022
11,,Kamrup,355253,204549,31909,118795,18-06-2022
12,,Kamrup (M),5485,3850,1635,0,18-06-2022
13,,Kokrajhar,50185,20554,10386,19245,18-06-2022
14,,Lakhimpur,39307,24406,10876,4025,18-06-2022
15,,Nagaon,50788,29062,13002,8724,18-06-2022
16,,Nalbari,218783,105134,86759,26890,18-06-2022
17,,Sonitpur,9021,5668,3143,210,18-06-2022
18,,South Salmara,271672,104987,74164,92521,18-06-2022
19,,Tamulpur,18761,5721,6437,6603,18-06-2022
20,,Udalguri,8986,4677,3487,822,18-06-2022
21,,Total,2554460,1194809,611266,748385,18-06-2022
