,animals affected,District,Total,Big,Small,Poultry,,,,,,Date
0,,Bajali,87,22,65,0,,,,,,01-08-2022
1,,Dhemaji,53567,16667,10649,26251,,,,,,01-08-2022
2,,Lakhimpur,9451,3620,1941,3890,,,,,,01-08-2022
3,,Nalbari,4698,1879,1698,1121,,,,,,01-08-2022
4,,Total,67803,22188,14353,31262,,,,,,01-08-2022
