,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,96740,55863,28427,12450,20-06-2022
1,,Baksa,11278,5364,3762,2152,20-06-2022
2,,Barpeta,812849,350283,161571,300995,20-06-2022
3,,Biswanath,34649,24689,9960,0,20-06-2022
4,,Bongaigaon,77126,49379,27747,0,20-06-2022
5,,Cachar,112320,74152,15898,22270,20-06-2022
6,,Chirang,7245,3590,2240,1415,20-06-2022
7,,Darrang,341023,168666,89549,82808,20-06-2022
8,,Dhemaji,30792,19193,11599,0,20-06-2022
9,,Dhubri,380926,233775,147151,0,20-06-2022
10,,Goalpara,68681,43525,12976,12180,20-06-2022
11,,Golaghat,420,350,70,0,20-06-2022
12,,Hailakandi,13564,4565,2359,6640,20-06-2022
13,,Hojai,91122,26200,20422,44500,20-06-2022
14,,Kamrup,265651,212793,35075,17783,20-06-2022
15,,Kamrup (M),35857,15313,8044,12500,20-06-2022
16,,Karimganj,1200,1200,0,0,20-06-2022
17,,Kokrajhar,36656,12967,5689,18000,20-06-2022
18,,Lakhimpur,34670,20318,9480,4872,20-06-2022
19,,Morigaon,94299,26116,6681,61502,20-06-2022
20,,Nagaon,88059,48741,28462,10856,20-06-2022
21,,Nalbari,300130,129894,109135,61101,20-06-2022
22,,Sonitpur,11270,7596,3674,0,20-06-2022
23,,South Salmara,285895,114287,79087,92521,20-06-2022
24,,Tamulpur,142132,37614,26396,78122,20-06-2022
25,,Udalguri,9772,4972,3978,822,20-06-2022
26,,Total,3384326,1691405,849432,843489,20-06-2022
