,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,96148,64181,31967,0,16-06-2022
1,,Baksa,18901,10213,7088,1600,16-06-2022
2,,Barpeta,180590,59622,21968,99000,16-06-2022
3,,Chirang,1035,210,275,550,16-06-2022
4,,Darrang,52121,30990,14131,7000,16-06-2022
5,,Dhemaji,3300,2510,790,0,16-06-2022
6,,Goalpara,62780,32441,23302,7037,16-06-2022
7,,Hojai,944,121,223,600,16-06-2022
8,,Kamrup,63604,21525,11601,30478,16-06-2022
9,,Kokrajhar,5670,1600,870,3200,16-06-2022
10,,Lakhimpur,5676,3884,1637,155,16-06-2022
11,,Nagaon,2050,1025,375,650,16-06-2022
12,,Nalbari,156225,78728,66635,10862,16-06-2022
13,,Sonitpur,1521,1000,521,0,16-06-2022
14,,Tamulpur,22237,4894,3281,14062,16-06-2022
15,,Udalguri,6476,3550,1712,1214,16-06-2022
16,,Total,679278,316494,186376,176408,16-06-2022
