,animals affected,District Total Big Small Poultry,,,,,,,,,,Date
0,,Dhemaji 3807 3059 725 23,,,,,,,,,,11-10-2022
1,,Lakhimpur 6818 4487 1610 721,,,,,,,,,,11-10-2022
2,,Total 10625 7546 2335 744,,,,,,,,,,11-10-2022
