,animals affected,District,Total,Big,Small,Poultry,,,,,,Date
0,,Dima-Hasao,25,25,0,0,,,,,,01-06-2022
1,,Morigaon,79331,29063,18127,32141,,,,,,01-06-2022
2,,Nagaon,17365,7775,4120,5470,,,,,,01-06-2022
3,,Total,96721,36863,22247,37611,,,,,,01-06-2022
