,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,109896,73449,33367,3080,22-06-2022
1,,Baksa,7621,4291,2818,512,22-06-2022
2,,Barpeta,1020185,351346,195258,473581,22-06-2022
3,,Biswanath,12094,8810,3284,0,22-06-2022
4,,Darrang,398038,206273,133831,57934,22-06-2022
5,,Dhemaji,5886,4415,1471,0,22-06-2022
6,,Dhubri,227232,134820,92412,0,22-06-2022
7,,Dibrugarh,450,355,95,0,22-06-2022
8,,Goalpara,105949,75121,24323,6505,22-06-2022
9,,Hailakandi,13657,4575,3154,5928,22-06-2022
10,,Hojai,60258,21111,11987,27160,22-06-2022
11,,Kamrup,469609,404306,50303,15000,22-06-2022
12,,Kamrup (M),28853,14575,7902,6376,22-06-2022
13,,Karimganj,42180,23939,7231,11010,22-06-2022
14,,Lakhimpur,25025,12572,6231,6222,22-06-2022
15,,Morigaon,120717,41838,19372,59507,22-06-2022
16,,Nagaon,106546,54772,37481,14293,22-06-2022
17,,Nalbari,231723,101653,94629,35441,22-06-2022
18,,Sonitpur,33627,22846,10781,0,22-06-2022
19,,South Salmara,285808,114287,79000,92521,22-06-2022
20,,Tamulpur,11732,2566,3500,5666,22-06-2022
21,,Total,3317086,1677920,818430,820736,22-06-2022
