,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,11479,5618,1396,4465,29-06-2022
1,,Barpeta,534705,201620,99549,233536,29-06-2022
2,,Biswanath,18677,13325,5352,0,29-06-2022
3,,Cachar,168545,111513,37569,19463,29-06-2022
4,,Darrang,145096,64325,45922,34849,29-06-2022
5,,Dhemaji,25460,14512,7803,3145,29-06-2022
6,,Dibrugarh,40,15,25,0,29-06-2022
7,,Kamrup,19266,7945,3821,7500,29-06-2022
8,,Kamrup (M),1631,1008,414,209,29-06-2022
9,,Lakhimpur,27948,17683,7571,2694,29-06-2022
10,,Morigaon,108393,42700,21447,44246,29-06-2022
11,,Nagaon,124437,57326,38080,29031,29-06-2022
12,,Tamulpur,3219,1059,569,1591,29-06-2022
13,,Total,1188896,538649,269518,380729,29-06-2022
