,animals affected,District,Total,Big,Small,Poultry,Date
0,,Barpeta,24273,12004,7269,5000,19-05-2022
1,,Biswanath,6250,4969,1281,0,19-05-2022
2,,Cachar,15618,10118,5500,0,19-05-2022
3,,Darrang,124994,58904,25180,40910,19-05-2022
4,,Dhemaji,92,58,34,0,19-05-2022
5,,Dibrugarh,1599,1412,187,0,19-05-2022
6,,Goalpara,1053,588,465,0,19-05-2022
7,,Hailakandi,200,65,30,105,19-05-2022
8,,Hojai,13829,3164,1647,9018,19-05-2022
9,,Kamrup,14114,5972,3834,4308,19-05-2022
10,,Karimganj,942,578,364,0,19-05-2022
11,,Lakhimpur,8132,4308,3124,700,19-05-2022
12,,Nagaon,76849,44502,21465,10882,19-05-2022
13,,Nalbari,23375,10425,11150,1800,19-05-2022
14,,Sonitpur,2321,1669,652,0,19-05-2022
15,,Udalguri,71,10,16,45,19-05-2022
16,,Total,313712,158746,82198,72768,19-05-2022
