,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,92922,51773,26649,14500,17-06-2022
1,,Baksa,19962,11064,7098,1800,17-06-2022
2,,Barpeta,316996,123519,60795,132682,17-06-2022
3,,Bongaigaon,202817,59150,23732,119935,17-06-2022
4,,Darrang,171979,102638,46841,22500,17-06-2022
5,,Dhemaji,46193,14021,9395,22777,17-06-2022
6,,Dhubri,71735,39378,32357,0,17-06-2022
7,,Goalpara,80106,41806,29918,8382,17-06-2022
8,,Hojai,47210,22460,13330,11420,17-06-2022
9,,Kamrup,335459,187791,28873,118795,17-06-2022
10,,Kokrajhar,55374,26179,8495,20700,17-06-2022
11,,Lakhimpur,15994,9092,4204,2698,17-06-2022
12,,Nagaon,14410,8930,3230,2250,17-06-2022
13,,Nalbari,160846,83140,64766,12940,17-06-2022
14,,Sonitpur,498,280,218,0,17-06-2022
15,,South Salmara,103645,19414,13219,71012,17-06-2022
16,,Tamulpur,21643,7288,5016,9339,17-06-2022
17,,Udalguri,11220,5846,4622,752,17-06-2022
18,,Total,1769009,813769,382758,572482,17-06-2022
