,animals affected,District Total Big Small Poultry,,,,,,,,Date
0,,Dhemaji 2463 1888 575 0,,,,,,,,10-10-2022
1,,Lakhimpur 3125 2425 700 0,,,,,,,,10-10-2022
2,,Total 5588 4313 1275 0,,,,,,,,10-10-2022
