,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,106626,68729,31317,6580,23-06-2022
1,,Baksa,6853,4077,2630,146,23-06-2022
2,,Barpeta,1006107,347804,193622,464681,23-06-2022
3,,Biswanath,12094,8810,3284,0,23-06-2022
4,,Cachar,116717,76059,18388,22270,23-06-2022
5,,Darrang,277748,157075,81410,39263,23-06-2022
6,,Dhemaji,6527,4687,1840,0,23-06-2022
7,,Dhubri,302252,170842,131410,0,23-06-2022
8,,Dibrugarh,1050,660,390,0,23-06-2022
9,,Goalpara,109947,70353,23799,15795,23-06-2022
10,,Golaghat,3800,2300,1500,0,23-06-2022
11,,Hailakandi,4250,1066,746,2438,23-06-2022
12,,Hojai,44268,16888,5652,21728,23-06-2022
13,,Kamrup,511857,425256,54351,32250,23-06-2022
14,,Kamrup (M),20588,11097,6093,3398,23-06-2022
15,,Karimganj,40723,26025,3688,11010,23-06-2022
16,,Lakhimpur,12674,8199,4475,0,23-06-2022
17,,Morigaon,104695,38047,19141,47507,23-06-2022
18,,Nagaon,107853,54232,38250,15371,23-06-2022
19,,Nalbari,226741,103504,94737,28500,23-06-2022
20,,Sonitpur,33627,22846,10781,0,23-06-2022
21,,South Salmara,285895,114287,79087,92521,23-06-2022
22,,Tamulpur,34626,12281,10404,11941,23-06-2022
23,,Total,3377518,1745124,816995,815399,23-06-2022
