,animals affected,District,Total,Big,Small,Poultry,Date
0,,Bajali,6950,1182,1462,4306,28-06-2022
1,,Barpeta,529185,201660,99819,227706,28-06-2022
2,,Biswanath,14406,11665,2741,0,28-06-2022
3,,Bongaigaon,4567,1412,505,2650,28-06-2022
4,,Cachar,130456,85967,19507,24982,28-06-2022
5,,Darrang,149279,64365,46999,37915,28-06-2022
6,,Dhemaji,5290,3371,1886,33,28-06-2022
7,,Dibrugarh,40,15,25,0,28-06-2022
8,,Kamrup,10633,6982,3651,0,28-06-2022
9,,Kamrup (M),2570,1514,667,389,28-06-2022
10,,Lakhimpur,25969,9804,4472,11693,28-06-2022
11,,Morigaon,103690,41179,20496,42015,28-06-2022
12,,Nagaon,118945,57322,38070,23553,28-06-2022
13,,Tamulpur,3204,1054,565,1585,28-06-2022
14,,Total,1105184,487492,240865,376827,28-06-2022
