,animals affected,District,Total,Big,Small,Poultry,,,,,,Date
0,,Bajali,85,25,17,43,,,,,,03-08-2022
1,,Dhemaji,47204,14141,9802,23261,,,,,,03-08-2022
2,,Udalguri,385,0,0,385,,,,,,03-08-2022
3,,Total,47674,14166,9819,23689,,,,,,03-08-2022
