,ID,ind_ppp_UNadj,aged,young,sexratio,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,x,y,yr
19340,19340,4,0,0,933,NA,0,1,1,0,5,90.5105712,26.26666372,2022
19341,19341,3,0,0,938,NA,1,1,1,0,4,93.84092893,26.57401278,2022
19342,19342,5,0,1,933,NA,0,1,1,0,6,90.49215757,26.27563438,2022
19343,19343,4,0,0,938,NA,0,2,1,0,5,94.04530448,26.64475375,2022
19344,19344,3,0,0,938,NA,0,2,1,0,5,94.03716914,26.64604433,2022
19345,19345,3,0,0,938,NA,0,2,1,0,5,94.02781376,26.64535845,2022
19346,19346,4,0,0,938,NA,0,1,1,0,6,94.03952682,26.25643487,2022
19347,19347,4,0,0,938,NA,0,1,1,0,6,94.07495122,26.38874284,2022
19348,19348,5,0,1,938,1,0,2,1,0,7,94.07530659,26.34762774,2022
19349,19349,4,0,0,938,NA,0,1,1,0,6,94.11023668,26.32864668,2022
19350,19350,5,0,1,938,NA,0,2,1,0,7,93.99293013,26.2452106,2022
19351,19351,8,0,1,938,NA,0,3,2,1,12,94.05576652,26.3131565,2022
19352,19352,3,0,0,938,NA,0,1,1,0,5,94.01933199,26.19818558,2022
19353,19353,5,0,1,938,NA,0,2,1,0,7,94.00901141,26.3099869,2022
19354,19354,7,0,1,938,NA,0,2,2,0,9,93.99110494,26.25745318,2022
19355,19355,3,0,0,938,NA,0,1,1,0,5,94.02041529,26.20792815,2022
19356,19356,4,0,0,938,NA,0,1,1,0,6,94.09779006,26.33971573,2022
19357,19357,5,0,0,938,NA,0,1,1,0,6,94.01204037,26.26661281,2022
19358,19358,4,0,0,933,NA,0,1,1,0,5,90.56648633,26.25464554,2022
19359,19359,5,0,1,938,NA,0,3,1,0,7,94.08467583,26.63301241,2022
19360,19360,4,0,0,938,NA,0,1,1,0,6,94.11727374,26.33324486,2022
19361,19361,6,0,1,938,NA,0,2,2,0,9,94.0367128,26.322009,2022
19362,19362,4,0,0,938,NA,0,1,1,0,5,93.99567483,26.29413235,2022
19363,19363,4,0,0,938,NA,0,1,1,0,5,94.01292961,26.20297698,2022
19364,19364,5,0,1,938,NA,0,2,1,0,7,94.07599858,26.33296744,2022
19365,19365,7,0,1,933,NA,1,2,2,0,8,90.50654814,26.24873976,2022
19366,19366,2,0,0,938,NA,0,1,1,0,3,94.03328308,26.20771041,2022
19367,19367,4,0,0,938,NA,0,1,1,0,5,94.08475215,26.3760948,2022
19368,19368,23,1,2,938,1,1,7,6,1,32,94.05527261,26.2955017,2022
19369,19369,5,0,1,933,NA,0,1,1,0,6,90.47878132,26.37303947,2022
19370,19370,5,0,0,938,NA,0,2,1,0,7,94.00546805,26.21991682,2022
19371,19371,5,0,0,938,NA,0,2,1,0,7,94.01776622,26.2598799,2022
19372,19372,3,0,0,938,NA,0,2,1,0,5,94.05304509,26.6300888,2022
19373,19373,3,0,0,943,NA,0,1,1,0,4,94.11551581,26.32096596,2022
19374,19374,4,0,0,938,NA,0,1,1,0,6,94.04089985,26.24873314,2022
19375,19375,3,0,0,938,NA,0,1,1,0,3,93.98204319,26.18644391,2022
19376,19376,5,0,0,938,NA,0,2,1,0,7,93.98755611,26.31898251,2022
19377,19377,4,0,0,938,NA,0,1,1,0,6,94.05069045,26.39560844,2022
19378,19378,5,0,0,938,NA,0,1,1,0,6,94.08789668,26.2997721,2022
19379,19379,6,0,1,938,NA,0,2,2,0,8,93.99442352,26.1922347,2022
19380,19380,5,0,1,938,1,0,2,1,0,7,94.10033952,26.32163295,2022
19381,19381,5,0,1,938,1,0,2,1,0,7,94.09586951,26.3237769,2022
19382,19382,5,0,1,938,NA,0,2,1,0,7,94.11013243,26.37428148,2022
19383,19383,4,0,0,938,NA,0,1,1,0,6,94.09376576,26.33291747,2022
19384,19384,3,0,0,938,NA,0,1,1,0,5,94.02465744,26.2173693,2022
19385,19385,5,0,1,938,NA,0,2,1,0,7,94.07358577,26.33753765,2022
