,infrastructure damaged - road,District,Number,Details,Date
0,,Dibrugarh,1,"Tingkhong - No. 3.Jamuguri to Nahula Road(As per reported by PWRD,ON 02-06-22) | Village-Na Hula and Jamuguri |",03-06-2022
1,,Total,1,,03-06-2022
