,infrastructure damaged - road,District,Number,Details,,,,,,,Date
0,,Jorhat,2,"Titabor - Tantigaon Tekelagaon Road | Tekela Gaon | Dated : 06/08/2022 Length of damage : 400M Source : PWD Road, Jorhat Dergaon and Titabar Territorial Road | (Long - 94.153382, Lat - 26.582209),  Jonaki Mondal Gaon Road | Jonaki Mondal Gaon | Dated : 6/8/2022 Length of damage : 2000M Source : PWD Road, Jorhat Dergaon and Titabar Territorial Road | (Long - 94.124489, Lat - 26.531778)",,,,,,,08-08-2022
1,,Total,2,,,,,,,,08-08-2022
