,infrastructure damaged - road,District,Number,Details,,,,,,,Date
0,,Udalguri,1,"Kalaigaon - Ranthali to Kulshipar road | Ranthali Bagisha | The road which has damaged severely in the recent flood has further deteriorated damaging the road surface completely and thereby disturbing the communication due to incessant rainfall in the recent days as reported on 09/09/2022 covering a length of around 400 meters and breadth of 10 meters | (Long - 991.950399, Lat - 26.573788)",,,,,,,09-09-2022
1,,Total,1,,,,,,,,09-09-2022
