,infrastructure damaged - road,District,Number,Details,,,,,,,,Date
0,,Bajali,1,"Sarupeta - ADP Bazar to Gohai Kamal Ali Road. | Anandapur | Road formation,HPC and slab culvert damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub Division,Bhawanipur on 5/8/2022. | (Long - 91.030408, Lat - 26.466214)",,,,,,,,06-08-2022
1,,Total,1,,,,,,,,,06-08-2022
